1;Quarto;27-27;1618913118;V;3.300000;
1;Quarto;27-27;1618914118;V;3.300000;
1;Quarto;27-27;1618915118;V;3.300000;
1;Quarto;27-27;1618916118;V;3.300000;
1;Quarto;27-27;1618917118;V;3.300000;
1;Quarto;27-27;1618918118;V;3.300000;
1;Quarto;27-27;1618919118;V;3.300000;
1;Quarto;27-27;1618920118;V;3.300000;
1;Quarto;27-27;1618921118;V;3.300000;
1;Quarto;27-27;1618922118;V;3.300000;
1;Quarto;27-27;1618923118;V;3.300000;
1;Quarto;27-27;1618924118;V;3.300000;
1;Quarto;27-27;1618925118;V;3.300000;
1;Quarto;27-27;1618926118;V;3.300000;
1;Quarto;27-27;1618927118;V;3.300000;
1;Quarto;27-27;1618928118;V;3.300000;
1;Quarto;27-27;1618929118;V;3.300000;
1;Quarto;27-27;1618930118;V;3.300000;
1;Quarto;27-27;1618931118;V;3.300000;
1;Quarto;27-27;1618932118;V;3.300000;
1;Quarto;27-27;1618933118;V;3.300000;
1;Quarto;27-27;1618934118;V;3.300000;
1;Quarto;27-27;1618935118;V;3.300000;
1;Quarto;27-27;1618936118;V;3.300000;
1;Quarto;27-27;1618937118;V;3.300000;
1;Quarto;27-27;1618938118;V;3.300000;
1;Quarto;27-27;1618939118;V;3.300000;
1;Quarto;27-27;1618940118;V;3.300000;
1;Quarto;27-27;1618941118;V;3.300000;
1;Quarto;27-27;1618942118;V;3.300000;
1;Quarto;27-27;1618884926;S;Desligado;
